driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
mongo,connection get one by id,exec,2854.0,584.2880168185003,567.5,89.96339024491373,0.1539709657828896,365.0,718.0,757.3499999999999,816.4699999999998,848.0
neo4j,connection get one by id,exec,2934.0,1313.1124744376277,1318.0,208.30255874085393,0.15863268592438326,747.0,1578.0,1656.35,1786.0,1898.0
postgres,connection get one by id,exec,2948.0,1181.5922659430123,909.5,656.6844753281247,0.555762333806437,388.0,2243.3,2343.65,2522.720000000005,3304.0
mongo,connection get one by id,total,2853.0,650.6656151419559,636.0,98.73339688009811,0.15174214616913087,419.0,794.0,839.0,906.0,933.0
neo4j,connection get one by id,total,2931.0,1324.3162743091095,1329.0,208.97635920781258,0.15779943451713202,756.0,1590.0,1669.5,1795.3999999999996,1920.0
postgres,connection get one by id,total,2948.0,1227.2788331071913,953.5,657.9465719057952,0.5361019469715972,424.0,2291.3,2388.0,2575.770000000002,3398.0
mongo,connection id in list,build,2562.0,331.0433255269321,308.0,66.29550647211164,0.20026232628791713,259.0,432.9000000000001,506.0,552.0,557.0
neo4j,connection id in list,build,2840.0,16.26619718309859,16.0,3.5121063169865243,0.21591440688028682,8.0,22.0,23.0,25.0,26.0
postgres,connection id in list,build,2927.0,59.25623505295525,51.0,18.484053311759013,0.3119343187301801,34.0,90.0,95.0,105.0,116.0
mongo,connection id in list,exec,2881.0,1046.4432488719194,1022.0,163.1262047328763,0.15588633679726888,682.0,1274.0,1369.0,1470.999999999999,1516.0
neo4j,connection id in list,exec,2906.0,1976.9445973847212,1964.0,226.2986162372739,0.11446887107339372,1360.0,2293.0,2370.75,2524.0,2605.0
postgres,connection id in list,exec,2945.0,1817.225466893039,1652.0,811.7035193710627,0.44667188203060726,683.0,2987.7999999999997,3144.0,3557.7199999999993,4308.0
mongo,connection id in list,total,2899.0,1415.453949637806,1380.0,221.10017949510188,0.15620443148410315,1005.0,1733.2000000000003,1843.0,1983.02,2065.0
neo4j,connection id in list,total,2905.0,1994.0471600688468,1982.0,226.3547480145176,0.11351524304304941,1377.0,2307.6,2385.0,2545.96,2615.0
postgres,connection id in list,total,2945.0,1879.1025466893038,1715.0,810.048292019999,0.43108253641994276,724.0,3041.6,3197.0,3648.0,4352.0
mongo,deep sub collection child range filter,build,2786.0,404.9737975592247,387.5,80.80452528172074,0.19953025546030204,265.0,536.5,574.0,614.1500000000001,638.0
neo4j,deep sub collection child range filter,build,2821.0,7.747961715703651,7.0,1.4576529249439398,0.18813372838298276,4.0,10.0,11.0,12.0,12.0
postgres,deep sub collection child range filter,build,2929.0,55.895527483782864,46.0,19.263523666785503,0.3446344373863273,31.0,88.0,91.0,102.0,115.0
mongo,deep sub collection child range filter,exec,2950.0,5901.46406779661,3749.0,4664.6429588374795,0.7904213099071,954.0,12972.1,13620.099999999999,14594.159999999996,16973.0
neo4j,deep sub collection child range filter,exec,2946.0,3033.2827562797015,2388.0,1302.8411194387886,0.4295152229845903,1359.0,4937.0,5341.0,5949.300000000001,7885.0
postgres,deep sub collection child range filter,exec,2949.0,1705.9287894201425,1446.0,843.7052771293793,0.494572389165295,596.0,2901.2000000000003,3095.7999999999997,3545.16,4527.0
mongo,deep sub collection child range filter,total,2950.0,6331.265084745763,4156.0,4719.99861539886,0.7455063959920099,1247.0,13460.1,14140.849999999999,15150.039999999999,17641.0
neo4j,deep sub collection child range filter,total,2945.0,3040.2543293718168,2397.0,1300.542223159721,0.42777415382496686,1366.0,4942.4,5346.399999999998,5949.839999999999,7794.0
postgres,deep sub collection child range filter,total,2947.0,1762.3338988802172,1499.0,846.3302787611725,0.4802326501799283,633.0,2963.6000000000004,3170.7,3599.8599999999997,4619.0
