collection_size;result_size
100;158
100;671
100;667
100;581
100;798
100;512
100;1056
100;971
100;161
100;372
100;450
100;1312
100;598
100;192
100;307
100;203
100;244
100;891
100;791
100;640
100;758
100;208
100;298
100;925
100;3162
100;434
100;4845
100;330
100;268
100;306
100;280
100;396
100;573
100;126
100;352
100;177
100;159
100;1234
100;3029
100;0
100;101
100;527
100;503
100;610
100;1011
100;258
100;280
100;482
100;175
100;218
100;328
100;363
100;137
100;253
100;1299
100;703
100;751
100;693
100;431
100;409
100;319
100;381
100;349
100;165
100;1504
100;948
100;1010
100;543
100;428
100;510
100;829
100;362
100;929
100;713
100;1075
100;938
100;734
100;863
100;1126
100;1937
100;819
100;1284
100;712
100;1369
100;904
100;824
100;1083
100;1830
100;732
100;1287
100;7143
100;5478
100;4086
100;1096
100;1955
100;2408
100;4038
100;4162
100;6770
100;1539
100;976
100;7100
100;1638
100;4298
100;1344
100;719
100;3446
100;3691
100;5148
100;2148
100;4296
100;4308
100;474
100;2002
100;8318
100;7057
100;11971
100;2790
100;2451
100;3461
100;5543
100;2728
100;8574
100;8274
100;12521
100;7702
100;15352
