run_id;query_shape;driver;collection_size;depth;filter_count;phase;iteration;duration
3;collection collect all;mongo;100;1;0;exec;16;2678
3;collection collect all;mongo;100;1;0;total;16;3204
3;collection collect all;neo4j;100;1;0;build;16;81
3;collection collect all;neo4j;100;1;0;exec;16;8830
3;collection collect all;neo4j;100;1;0;total;16;8912
3;collection collect all;postgres;100;1;0;build;17;227
3;collection collect all;postgres;100;1;0;exec;17;974
3;collection collect all;postgres;100;1;0;total;17;1201
3;collection collect all;mongo;100;1;0;build;17;503
3;collection collect all;mongo;100;1;0;exec;17;2472
3;collection collect all;mongo;100;1;0;total;17;2975
3;collection collect all;neo4j;100;1;0;build;17;73
3;collection collect all;neo4j;100;1;0;exec;17;9939
3;collection collect all;neo4j;100;1;0;total;17;10012
3;collection collect all;postgres;100;1;0;build;18;149
3;collection collect all;postgres;100;1;0;exec;18;883
3;collection collect all;postgres;100;1;0;total;18;1032
3;collection collect all;mongo;100;1;0;build;18;510
3;collection collect all;mongo;100;1;0;exec;18;2303
3;collection collect all;mongo;100;1;0;total;18;2813
3;collection collect all;neo4j;100;1;0;build;18;65
3;collection collect all;neo4j;100;1;0;exec;18;9068
3;collection collect all;neo4j;100;1;0;total;18;9133
3;collection collect all;postgres;100;1;0;build;19;131
3;collection collect all;postgres;100;1;0;exec;19;808
3;collection collect all;postgres;100;1;0;total;19;939
3;collection collect all;mongo;100;1;0;build;19;486
3;collection collect all;mongo;100;1;0;exec;19;2250
3;collection collect all;mongo;100;1;0;total;19;2737
3;collection collect all;neo4j;100;1;0;build;19;93
3;collection collect all;neo4j;100;1;0;exec;19;8622
3;collection collect all;neo4j;100;1;0;total;19;8716
3;collection collect all;postgres;100;1;0;build;20;127
3;collection collect all;postgres;100;1;0;exec;20;1132
3;collection collect all;postgres;100;1;0;total;20;1259
3;collection collect all;mongo;100;1;0;build;20;521
3;collection collect all;mongo;100;1;0;exec;20;2484
3;collection collect all;mongo;100;1;0;total;20;3006
3;collection collect all;neo4j;100;1;0;build;20;65
3;collection collect all;neo4j;100;1;0;exec;20;9452
3;collection collect all;neo4j;100;1;0;total;20;9517
3;collection collect all;postgres;100;1;0;build;21;246
3;collection collect all;postgres;100;1;0;exec;21;1224
3;collection collect all;postgres;100;1;0;total;21;1471
3;collection collect all;mongo;100;1;0;build;21;689
3;collection collect all;mongo;100;1;0;exec;21;3131
3;collection collect all;mongo;100;1;0;total;21;3820
3;collection collect all;neo4j;100;1;0;build;21;79
3;collection collect all;neo4j;100;1;0;exec;21;10450
3;collection collect all;neo4j;100;1;0;total;21;10529
3;collection collect all;postgres;100;1;0;build;22;158
3;collection collect all;postgres;100;1;0;exec;22;940
3;collection collect all;postgres;100;1;0;total;22;1099
3;collection collect all;mongo;100;1;0;build;22;505
3;collection collect all;mongo;100;1;0;exec;22;2582
3;collection collect all;mongo;100;1;0;total;22;3088
3;collection collect all;neo4j;100;1;0;build;22;67
3;collection collect all;neo4j;100;1;0;exec;22;9265
3;collection collect all;neo4j;100;1;0;total;22;9332
3;collection collect all;postgres;100;1;0;build;23;157
3;collection collect all;postgres;100;1;0;exec;23;802
3;collection collect all;postgres;100;1;0;total;23;959
3;collection collect all;mongo;100;1;0;build;23;486
3;collection collect all;mongo;100;1;0;exec;23;2439
3;collection collect all;mongo;100;1;0;total;23;2926
3;collection collect all;neo4j;100;1;0;build;23;66
3;collection collect all;neo4j;100;1;0;exec;23;8803
3;collection collect all;neo4j;100;1;0;total;23;8870
3;collection collect all;postgres;100;1;0;build;24;120
3;collection collect all;postgres;100;1;0;exec;24;824
3;collection collect all;postgres;100;1;0;total;24;944
3;collection collect all;mongo;100;1;0;build;24;523
3;collection collect all;mongo;100;1;0;exec;24;2501
3;collection collect all;mongo;100;1;0;total;24;3025
3;collection collect all;neo4j;100;1;0;build;24;66
3;collection collect all;neo4j;100;1;0;exec;24;10475
3;collection collect all;neo4j;100;1;0;total;24;10542
3;collection collect all;postgres;100;1;0;build;25;191
3;collection collect all;postgres;100;1;0;exec;25;941
3;collection collect all;postgres;100;1;0;total;25;1133
3;collection collect all;mongo;100;1;0;build;25;517
3;collection collect all;mongo;100;1;0;exec;25;2728
3;collection collect all;mongo;100;1;0;total;25;3245
3;collection collect all;neo4j;100;1;0;build;25;57
3;collection collect all;neo4j;100;1;0;exec;25;11094
3;collection collect all;neo4j;100;1;0;total;25;11151
3;collection collect all;postgres;100;1;0;build;26;114
3;collection collect all;postgres;100;1;0;exec;26;829
3;collection collect all;postgres;100;1;0;total;26;943
3;collection collect all;mongo;100;1;0;build;26;526
3;collection collect all;mongo;100;1;0;exec;26;2702
3;collection collect all;mongo;100;1;0;total;26;3228
3;collection collect all;neo4j;100;1;0;build;26;77
3;collection collect all;neo4j;100;1;0;exec;26;10465
3;collection collect all;neo4j;100;1;0;total;26;10543
3;collection collect all;postgres;100;1;0;build;27;159
3;collection collect all;postgres;100;1;0;exec;27;947
3;collection collect all;postgres;100;1;0;total;27;1107
3;collection collect all;mongo;100;1;0;build;27;484
3;collection collect all;mongo;100;1;0;exec;27;2781
3;collection collect all;mongo;100;1;0;total;27;3266
3;collection collect all;neo4j;100;1;0;build;27;72
3;collection collect all;neo4j;100;1;0;exec;27;10509
3;collection collect all;neo4j;100;1;0;total;27;10582
3;collection collect all;postgres;100;1;0;build;28;116
3;collection collect all;postgres;100;1;0;exec;28;819
3;collection collect all;postgres;100;1;0;total;28;936
3;collection collect all;mongo;100;1;0;build;28;497
3;collection collect all;mongo;100;1;0;exec;28;2961
3;collection collect all;mongo;100;1;0;total;28;3459
3;collection collect all;neo4j;100;1;0;build;28;70
3;collection collect all;neo4j;100;1;0;exec;28;10748
3;collection collect all;neo4j;100;1;0;total;28;10818
3;collection collect all;postgres;100;1;0;build;29;113
3;collection collect all;postgres;100;1;0;exec;29;936
3;collection collect all;postgres;100;1;0;total;29;1050
3;collection collect all;mongo;100;1;0;build;29;5773
3;collection collect all;mongo;100;1;0;exec;29;2743
3;collection collect all;mongo;100;1;0;total;29;8516
3;collection collect all;neo4j;100;1;0;build;29;75
3;collection collect all;neo4j;100;1;0;exec;29;10870
3;collection collect all;neo4j;100;1;0;total;29;10946
3;collection collect all;postgres;100;1;0;build;30;132
3;collection collect all;postgres;100;1;0;exec;30;903
3;collection collect all;postgres;100;1;0;total;30;1036
3;collection collect all;mongo;100;1;0;build;30;638
3;collection collect all;mongo;100;1;0;exec;30;2330
3;collection collect all;mongo;100;1;0;total;30;2968
3;collection collect all;neo4j;100;1;0;build;30;81
3;collection collect all;neo4j;100;1;0;exec;30;9023
3;collection collect all;neo4j;100;1;0;total;30;9104
3;collection collect all;postgres;100;1;0;build;31;108
3;collection collect all;postgres;100;1;0;exec;31;724
3;collection collect all;postgres;100;1;0;total;31;832
3;collection collect all;mongo;100;1;0;build;31;551
3;collection collect all;mongo;100;1;0;exec;31;2741
3;collection collect all;mongo;100;1;0;total;31;3292
3;collection collect all;neo4j;100;1;0;build;31;73
3;collection collect all;neo4j;100;1;0;exec;31;8856
3;collection collect all;neo4j;100;1;0;total;31;8929
3;collection collect all;postgres;100;1;0;build;32;153
3;collection collect all;postgres;100;1;0;exec;32;719
3;collection collect all;postgres;100;1;0;total;32;873
3;collection collect all;mongo;100;1;0;build;32;658
3;collection collect all;mongo;100;1;0;exec;32;2550
3;collection collect all;mongo;100;1;0;total;32;3209
3;collection collect all;neo4j;100;1;0;build;32;67
3;collection collect all;neo4j;100;1;0;exec;32;9332
3;collection collect all;neo4j;100;1;0;total;32;9400
3;collection collect all;postgres;100;1;0;build;33;120
3;collection collect all;postgres;100;1;0;exec;33;778
3;collection collect all;postgres;100;1;0;total;33;898
3;collection collect all;mongo;100;1;0;build;33;465
3;collection collect all;mongo;100;1;0;exec;33;2296
3;collection collect all;mongo;100;1;0;total;33;2761
3;collection collect all;neo4j;100;1;0;build;33;58
3;collection collect all;neo4j;100;1;0;exec;33;8993
3;collection collect all;neo4j;100;1;0;total;33;9052
3;collection collect all;postgres;100;1;0;build;34;149
3;collection collect all;postgres;100;1;0;exec;34;749
3;collection collect all;postgres;100;1;0;total;34;898
3;collection collect all;mongo;100;1;0;build;34;465
3;collection collect all;mongo;100;1;0;exec;34;2569
3;collection collect all;mongo;100;1;0;total;34;3034
3;collection collect all;neo4j;100;1;0;build;34;60
3;collection collect all;neo4j;100;1;0;exec;34;9600
3;collection collect all;neo4j;100;1;0;total;34;9660
3;collection collect all;postgres;100;1;0;build;35;137
3;collection collect all;postgres;100;1;0;exec;35;850
3;collection collect all;postgres;100;1;0;total;35;987
3;collection collect all;mongo;100;1;0;build;35;503
3;collection collect all;mongo;100;1;0;exec;35;2647
3;collection collect all;mongo;100;1;0;total;35;3151
3;collection collect all;neo4j;100;1;0;build;35;64
3;collection collect all;neo4j;100;1;0;exec;35;7675
3;collection collect all;neo4j;100;1;0;total;35;7740
3;collection collect all;postgres;100;1;0;build;36;120
3;collection collect all;postgres;100;1;0;exec;36;692
3;collection collect all;postgres;100;1;0;total;36;812
3;collection collect all;mongo;100;1;0;build;36;481
3;collection collect all;mongo;100;1;0;exec;36;2730
3;collection collect all;mongo;100;1;0;total;36;3211
