strategy;target_driver;relative_diff;form_weight
ml_model;postgres;-0.48358713902187056;0.40576902378646
ml_model;postgres;-0.36059732350464546;0.40576902378646
ml_model;postgres;-0.36059732350464546;0.40576902378646
ml_model;postgres;-0.36059732350464546;0.40576902378646
ml_model;postgres;-0.36059732350464546;0.40576902378646
ml_model;postgres;-0.7694511540990415;0.40576902378646
ml_model;postgres;-0.7694511540990415;0.40576902378646
ml_model;postgres;-0.7694511540990415;0.40576902378646
ml_model;postgres;-0.7694511540990415;0.40576902378646
ml_model;postgres;-0.414385189926628;0.40576902378646
ml_model;postgres;-0.414385189926628;0.40576902378646
ml_model;postgres;-0.414385189926628;0.40576902378646
ml_model;postgres;-0.414385189926628;0.40576902378646
ml_model;postgres;-0.414385189926628;0.40576902378646
ml_model;postgres;-0.414385189926628;0.40576902378646
ml_model;postgres;-0.4469276417292167;0.40576902378646
ml_model;postgres;-0.4469276417292167;0.40576902378646
ml_model;postgres;-0.4469276417292167;0.40576902378646
ml_model;postgres;-0.4469276417292167;0.40576902378646
ml_model;postgres;-0.4469276417292167;0.40576902378646
ml_model;postgres;-0.4469276417292167;0.40576902378646
ml_model;postgres;-0.356146658163022;0.40576902378646
ml_model;postgres;-0.356146658163022;0.40576902378646
ml_model;postgres;-0.356146658163022;0.40576902378646
ml_model;postgres;-0.356146658163022;0.40576902378646
ml_model;postgres;-0.356146658163022;0.40576902378646
ml_model;postgres;-0.356146658163022;0.40576902378646
ml_model;postgres;-0.7860601291156635;0.40576902378646
ml_model;postgres;-0.7860601291156635;0.40576902378646
ml_model;postgres;-0.7860601291156635;0.40576902378646
ml_model;postgres;-0.7860601291156635;0.40576902378646
ml_model;postgres;-0.7860601291156635;0.40576902378646
ml_model;postgres;-0.7860601291156635;0.40576902378646
ml_model;postgres;-0.32347013531620195;0.40576902378646
ml_model;postgres;-0.32347013531620195;0.40576902378646
ml_model;postgres;-0.32347013531620195;0.40576902378646
ml_model;postgres;-0.38367900054737336;0.40576902378646
ml_model;postgres;-0.38367900054737336;0.40576902378646
ml_model;postgres;-0.38367900054737336;0.40576902378646
ml_model;postgres;-0.004804516755493796;0.40576902378646
ml_model;postgres;-0.2792110454607142;0.40576902378646
ml_model;postgres;-0.25606676313176246;0.40576902378646
ml_model;postgres;-0.25606676313176246;0.40576902378646
ml_model;postgres;-0.25606676313176246;0.40576902378646
ml_model;postgres;-0.09349855902048511;0.40576902378646
ml_model;postgres;-0.09349855902048511;0.40576902378646
ml_model;postgres;-0.09349855902048511;0.40576902378646
ml_model;postgres;-0.2627308656925887;0.40576902378646
ml_model;postgres;-0.2627308656925887;0.40576902378646
ml_model;postgres;0.06337929968832318;2.1481481481481484
ml_model;postgres;0.06337929968832318;2.1481481481481484
ml_model;postgres;0.025073229463512734;0.40576902378646
ml_model;postgres;0.025073229463512734;0.40576902378646
ml_model;postgres;0.025073229463512734;0.40576902378646
ml_model;postgres;0.025073229463512734;0.40576902378646
ml_model;postgres;0.025073229463512734;0.40576902378646
ml_model;postgres;0.025073229463512734;0.40576902378646
ml_model;postgres;0.025073229463512734;0.40576902378646
ml_model;postgres;0.025073229463512734;0.40576902378646
ml_model;postgres;0.21358189215785034;0.40576902378646
ml_model;postgres;0.21358189215785034;0.40576902378646
ml_model;postgres;0.21358189215785034;0.40576902378646
ml_model;postgres;0.21358189215785034;0.40576902378646
ml_model;postgres;0.21358189215785034;0.40576902378646
ml_model;postgres;0.21358189215785034;0.40576902378646
ml_model;postgres;0.21358189215785034;0.40576902378646
ml_model;postgres;0.21358189215785034;0.40576902378646
ml_model;postgres;-0.18991452805251519;0.40576902378646
ml_model;postgres;-0.18991452805251519;0.40576902378646
ml_model;postgres;-0.18991452805251519;0.40576902378646
ml_model;postgres;-0.18991452805251519;0.40576902378646
ml_model;postgres;-0.18991452805251519;0.40576902378646
ml_model;postgres;-0.18991452805251519;0.40576902378646
ml_model;postgres;-0.18991452805251519;0.40576902378646
ml_model;postgres;-0.18991452805251519;0.40576902378646
ml_model;postgres;-0.4713991491939288;0.40576902378646
ml_model;postgres;-0.24495428796846333;0.40576902378646
ml_model;postgres;-0.38406559991195804;0.40576902378646
ml_model;postgres;-0.38406559991195804;0.40576902378646
ml_model;postgres;-0.38406559991195804;0.40576902378646
ml_model;postgres;-0.38406559991195804;0.40576902378646
ml_model;postgres;-0.38406559991195804;0.40576902378646
ml_model;postgres;-0.41316899721810224;0.40576902378646
ml_model;postgres;-0.41316899721810224;0.40576902378646
ml_model;postgres;-0.41316899721810224;0.40576902378646
ml_model;postgres;-0.41316899721810224;0.40576902378646
ml_model;postgres;-0.41316899721810224;0.40576902378646
ml_model;postgres;-0.6046959568233388;0.40576902378646
ml_model;postgres;-0.6046959568233388;0.40576902378646
ml_model;postgres;-0.6046959568233388;0.40576902378646
ml_model;postgres;-0.6046959568233388;0.40576902378646
ml_model;postgres;-0.6046959568233388;0.40576902378646
ml_model;postgres;0.12163290371897928;0.40576902378646
ml_model;postgres;0.0028092692331579826;0.40576902378646
ml_model;postgres;-0.3217311140134998;0.40576902378646
ml_model;postgres;-0.1988075842406839;0.40576902378646
ml_model;postgres;-0.1988075842406839;0.40576902378646
ml_model;postgres;-0.1988075842406839;0.40576902378646
ml_model;postgres;-0.1988075842406839;0.40576902378646
ml_model;postgres;-0.1871057059599909;0.40576902378646
ml_model;postgres;-0.1871057059599909;0.40576902378646
ml_model;postgres;-0.1871057059599909;0.40576902378646
ml_model;postgres;-0.1871057059599909;0.40576902378646
ml_model;postgres;0.13396590867055938;0.40576902378646
ml_model;postgres;-0.2753771421860019;0.40576902378646
ml_model;postgres;0.079415434891205;2.1481481481481484
ml_model;postgres;0.079415434891205;2.1481481481481484
