driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
postgres,deep sub collection get one by id,build,2485.0,43.83018108651911,42.0,5.504146307784744,0.12557890867299334,34.0,52.0,56.0,61.0,67.0
mongo,deep sub collection get one by id,exec,2941.0,1018.6426385583135,986.0,214.48111520591834,0.21055579953876052,522.0,1329.0,1413.0,1548.0,1661.0
neo4j,deep sub collection get one by id,exec,2943.0,1282.39789330615,1230.0,272.84463239836526,0.2127612918132176,745.0,1687.4000000000005,1769.0,1930.0,2132.0
postgres,deep sub collection get one by id,exec,2949.0,1320.1281790437436,945.0,793.6067110269944,0.6011588295932417,365.0,2537.0,2658.2,2818.04,3368.0
mongo,deep sub collection get one by id,total,2940.0,1139.430612244898,1104.0,238.97838224613378,0.20973491468278205,598.0,1474.1999999999998,1581.0499999999997,1722.2200000000003,1867.0
neo4j,deep sub collection get one by id,total,2943.0,1289.9663608562691,1236.0,273.7877822653623,0.212244125562797,751.0,1695.8000000000002,1780.0,1940.7399999999998,2139.0
postgres,deep sub collection get one by id,total,2949.0,1373.109528653781,1004.0,800.1839573145054,0.5827531894699026,402.0,2597.2000000000003,2714.0,2901.08,3409.0
mongo,deep sub collection grand child range filter,build,2950.0,15870.407118644067,7299.5,17074.241888146924,1.0758540572086919,470.0,39560.1,43124.7,47804.14999999999,59440.0
neo4j,deep sub collection grand child range filter,build,2438.0,7.283429040196883,7.0,0.8447745516868146,0.11598582851903215,6.0,8.0,9.0,9.0,9.0
postgres,deep sub collection grand child range filter,build,2887.0,64.49151368202286,53.0,25.118703236468587,0.3894885048026168,36.0,100.0,105.0,135.0,140.0
mongo,deep sub collection grand child range filter,exec,2950.0,24093.514576271187,13249.5,23959.06328687668,0.994419606613685,1226.0,57965.5,60456.5,63545.489999999976,73622.0
neo4j,deep sub collection grand child range filter,exec,2947.0,3069.20223956566,2407.0,1533.0671573181862,0.49950020808506224,1242.0,5289.0,5526.7,6281.499999999999,9035.0
postgres,deep sub collection grand child range filter,exec,2947.0,1366.5453003053954,1496.0,562.3985743068274,0.4115476992831066,558.0,2087.0,2180.7,2355.0,3463.0
mongo,deep sub collection grand child range filter,total,2950.0,39964.38983050847,20635.0,40923.77970276316,1.0240061183549536,1711.0,97117.7,102249.79999999999,106728.70999999998,122823.0
neo4j,deep sub collection grand child range filter,total,2947.0,3078.8846284356973,2416.0,1535.769482436029,0.498807090155994,1249.0,5300.6,5539.799999999999,6307.879999999999,9044.0
postgres,deep sub collection grand child range filter,total,2947.0,1433.9993213437394,1563.0,579.963711203714,0.40443792585637683,595.0,2173.4,2279.0,2459.0,3542.0
mongo,deep sub collection id in list,build,2696.0,271.5797477744807,258.0,49.94019746190199,0.18388778202773878,174.0,341.5,362.0,410.2000000000007,450.0
neo4j,deep sub collection id in list,build,2405.0,11.375051975051974,11.0,1.348213694399626,0.11852373926348286,8.0,13.0,14.0,16.0,16.0
postgres,deep sub collection id in list,build,2603.0,53.49135612754514,48.0,13.755783571752422,0.2571589985296511,38.0,83.0,86.0,93.0,97.0
