form_id;collectionSize;actual_fastest;actual_fastest_duration;n_drivers_compared;ml_predicted_fastest;ml_pred_duration_postgres;ml_pred_duration_mongo;ml_pred_duration_neo4j;majority_predicted
-2280516890771335684;15000;neo4j;1354.0618556701031;3;neo4j;6002.626274374004;6894.118282984351;1972.7825436402907;neo4j
-1888431145472274022;3000;neo4j;2705.8348214285716;3;neo4j;5012.2190425132;10724.906759294967;2244.12791278066;neo4j
-523799415667217518;500;neo4j;1410.4017857142858;3;neo4j;1224.3861123770835;1288.442774603528;1149.5084857295674;neo4j
-484428940663733261;100;neo4j;1774.7371937639198;3;neo4j;4249.642822664839;10418.648113885942;2295.2751150749814;neo4j
-337597371140235294;100;neo4j;1606.34996582365;3;neo4j;3399.1843083623185;9630.921672537846;2228.935991638994;neo4j
-190574955427962001;100;neo4j;1254.6308016877638;3;postgres;1728.280991849901;5962.087411032145;1983.0606882327875;neo4j
-190574955427962001;500;postgres;1369.6547368421052;3;postgres;1855.2739355960593;6068.733882511758;1996.279907785138;neo4j
55621005251156460;500;neo4j;1557.746887966805;3;neo4j;2880.375005609421;10169.940584238962;2204.918417949199;neo4j
55621005251156460;1000;neo4j;1886.0726141078837;3;neo4j;3039.116185292118;10303.24867358848;2221.4424423896376;neo4j
198385241727043463;100;postgres;1606.9876033057851;3;neo4j;2179.4879733023295;8015.686107974858;2086.9057911896957;neo4j
198385241727043463;500;postgres;2284.6252587991717;3;neo4j;2306.4809170484873;8122.332579454471;2100.1250107420465;neo4j
198385241727043463;1000;postgres;3857.360248447205;2;neo4j;2465.2220967311846;8255.640668803988;2116.649035182485;neo4j
269281139764885068;3000;neo4j;2761.6473214285716;3;neo4j;4184.313703253511;10397.631812523061;2216.9575020634697;neo4j
284898153821570014;100;postgres;1486.8487282463186;3;postgres;807.6603352344323;2173.7540095744716;1389.2125538335595;neo4j
284898153821570014;500;postgres;951.9141515761235;3;postgres;934.6532789805904;2280.4004810540846;1402.4317733859102;neo4j
284898153821570014;1000;neo4j;1318.4569603227976;3;postgres;1093.3944586632879;2413.708570403601;1418.9557978263485;neo4j
284898153821570014;3000;neo4j;1374.0;3;neo4j;1728.3591773940784;2946.9409278016674;1485.051895588102;neo4j
284898153821570014;9000;neo4j;1341.233870967742;3;neo4j;3633.253333586448;4546.637999995866;1683.3401888733624;neo4j
284898153821570014;15000;neo4j;1402.6806451612904;3;neo4j;5538.1474897788175;6146.335072190064;1881.6284821586228;neo4j
301876092220321866;100;neo4j;1391.4471544715448;3;neo4j;2222.4529421809216;7051.027872716151;1994.6501656274622;neo4j
301876092220321866;1000;neo4j;1998.9512195121952;3;neo4j;2508.1870656097767;7290.982433545281;2024.3934096202513;neo4j
301876092220321866;3000;neo4j;2881.695829094608;3;neo4j;3143.151784340567;7824.214790943348;2090.489507382005;neo4j
301876092220321866;9000;neo4j;4884.637426900585;2;neo4j;5048.0459405329375;9423.911863137546;2288.777800667265;neo4j
301876092220321866;15000;postgres;9195.934426229509;1;neo4j;6952.940096725308;11023.608935331742;2487.0660939525255;neo4j
336549245393134503;1000;postgres;625.44;3;postgres;746.930758921995;2919.983931374331;1507.9430250679764;neo4j
591457710187147916;3000;neo4j;2890.9933184855236;3;neo4j;5299.273406331148;12077.216444642783;2386.2956721568635;neo4j
674835182984831971;3000;neo4j;2606.858744394619;3;neo4j;3096.5405955144474;6974.49969025172;1955.8650044235815;neo4j
947533190914524242;100;neo4j;1327.0357142857142;3;postgres;1800.5237702912373;6633.7415765629885;1911.2396917642766;neo4j
1031963741124383336;100;postgres;1239.4955570745044;3;postgres;1221.0774323655285;5491.68998560249;1904.1157632283348;neo4j
1031963741124383336;500;postgres;1382.0636550308009;3;postgres;1348.0703761116865;5598.336457082105;1917.3349827806856;neo4j
1664155460377545707;100;postgres;1118.4;3;postgres;1730.8498721943952;5170.64625151762;1772.0322457764423;neo4j
1693831707291403119;1000;neo4j;1899.325892857143;3;neo4j;2817.1237876664536;5960.1668294404;1847.2908971406828;neo4j
2159236020344786070;100;postgres;942.271220492215;3;postgres;764.0710080095698;2688.213891594112;1524.5371153458561;neo4j
2159236020344786070;500;postgres;958.2547207713941;3;postgres;891.0639517557279;2794.8603630737252;1537.756334898207;neo4j
2159236020344786070;1000;postgres;1340.9859437751004;3;postgres;1049.8051314384254;2928.1684524232414;1554.2803593386452;neo4j
2159236020344786070;3000;postgres;1331.2503346720214;3;neo4j;1684.7698501692157;3461.400809821308;1620.3764571003987;neo4j
2159236020344786070;9000;neo4j;1282.1560926485397;3;neo4j;3589.664006361586;5061.097882015507;1818.664750385659;neo4j
2159236020344786070;15000;neo4j;1359.0080604534005;3;neo4j;5494.558162553956;6660.794954209705;2016.9530436709194;neo4j
