driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
mongo,sub collection child range filter,exec,2950.0,4236.30406779661,2589.0,3668.130293052972,0.8658798410947972,661.0,9511.1,9931.099999999999,11066.90999999999,12791.0
neo4j,sub collection child range filter,exec,2937.0,2755.5798433775963,2222.0,1308.260448483008,0.474767752285281,1209.0,4575.8,4901.2,5685.759999999998,7748.0
postgres,sub collection child range filter,exec,2948.0,1505.9670963364993,907.0,1049.132303556569,0.6966502164016383,462.0,3031.0,3167.65,3632.780000000005,5356.0
mongo,sub collection child range filter,total,2950.0,4718.90372881356,3169.5,3740.6083497562513,0.7926858789078806,963.0,10035.1,10518.3,11664.219999999994,14893.0
neo4j,sub collection child range filter,total,2937.0,2768.7797071842015,2233.0,1306.074588951235,0.471714880588853,1226.0,4587.0,4912.2,5697.5999999999985,7776.0
postgres,sub collection child range filter,total,2947.0,1546.475398710553,956.0,1051.3828509034818,0.6798574693009161,496.0,3074.0,3207.0,3666.119999999999,5449.0
mongo,sub collection collect all,build,863.0,740.0648899188876,735.0,19.032770803538455,0.02571770538340831,705.0,767.0,781.9,797.38,802.0
neo4j,sub collection collect all,build,855.0,17.389473684210525,17.0,1.6726569697915896,0.09618790080520644,14.0,20.0,21.0,22.0,23.0
postgres,sub collection collect all,build,936.0,42.79594017094017,41.0,12.28398481623128,0.28703621808903507,25.0,56.0,64.0,75.0,81.0
mongo,sub collection collect all,exec,889.0,854.85151856018,825.0,78.12429747756167,0.0913893182399042,738.0,971.2,1026.0,1077.3600000000001,1095.0
neo4j,sub collection collect all,exec,936.0,2319.3226495726494,2301.5,307.92136047229866,0.13276348615361266,1687.0,2725.0,2832.25,3070.85,3265.0
postgres,sub collection collect all,exec,897.0,764.9509476031216,759.0,86.87227540495346,0.11356581186958054,616.0,874.0,931.0,999.1199999999999,1040.0
mongo,sub collection collect all,total,881.0,1601.6901248581157,1570.0,93.32869823229291,0.05826888533795534,1455.0,1743.0,1804.0,1867.2000000000003,1898.0
neo4j,sub collection collect all,total,936.0,2338.8194444444443,2324.0,308.1912984750442,0.131772163604639,1704.0,2742.5,2851.25,3093.6,3288.0
postgres,sub collection collect all,total,902.0,810.8458980044346,811.0,94.46029637560986,0.11649599092513784,647.0,926.0,990.0,1055.99,1104.0
mongo,sub collection collect all only,build,869.0,296.692750287687,295.0,10.227198102201468,0.03447067072681993,274.0,312.0,316.0,323.31999999999994,330.0
neo4j,sub collection collect all only,build,816.0,14.636029411764707,15.0,0.7152165018598632,0.04886683961464024,13.0,16.0,16.0,16.0,16.0
postgres,sub collection collect all only,build,939.0,24.124600638977636,21.0,5.97368266385868,0.24761788819861832,16.0,32.0,33.0,41.0,47.0
